rank,ORF,GENE,Putative TOR pathway,1 week ,2 week ,5 week ,7 weeks,Norm_1,Norm_2,Norm_5,Norm_7,Norm,Description,Function,Localization
1213,YJR003C,,,0.907680159,1.021386467,2.301107718,0.517514192,0.865720488,0.980823223,2.19445191,0.495836287,3.671111421,biological_process unknown,molecular_function unknown,mitochondrion
1214,YBR223C,TDP1,,2.401030146,1.750416051,1.27457809,0.812638752,2.290036824,1.680900197,1.215501692,0.778598516,3.675000404,DNA repair,tyrosyl-DNA phosophodiesterase activity,nucleus
1215,YLL061W,MMP1,,1.228453218,1.199280721,1.087548743,1.550601342,1.17166505,1.151652602,1.037141112,1.485648944,3.674442658,S-methylmethionine transport,S-methylmethionine transporter activity,plasma membrane
1216,YNL031C,HHT2,,0.977187816,1.983678871,2.018915434,-0.168778236,0.932014988,1.90489924,1.925339173,-0.161708365,3.668530047,chromatin assembly/disassembly,DNA binding,nuclear nucleosome
1217,YPR121W,THI22,,1.599892856,1.782279786,1.631302692,0.419315142,1.525934009,1.711498498,1.555692192,0.401750651,3.66894134,thiamin biosynthesis,phosphomethylpyrimidine kinase activity,cellular_component unknown
1218,YPL033C,,,1.081958843,0.782286855,0.546769696,2.502685772,1.031942726,0.75121919,0.521427048,2.397851964,3.670498202,meiosis*,molecular_function unknown,cellular_component unknown
1219,YDR251W,PAM1,,1.319498619,1.034741503,1.735105953,1.057224993,1.258501661,0.993647879,1.654684196,1.012939401,3.661271475,pseudohyphal growth,molecular_function unknown,bud neck*
1220,YJL139C,YUR1,,0.908990552,1.387993577,1.748053929,0.689336925,0.866970305,1.332870934,1.667032036,0.66046162,3.66036459,N-linked glycosylation*,mannosyltransferase activity,Golgi apparatus
1221,YOR239W,ABP140,,1.356754648,2.192335746,0.240320943,1.387945453,1.294035442,2.105269536,0.229182123,1.32980647,3.664258128,actin cytoskeleton organization and biogenesis,actin cross-linking activity*,actin filament
1222,YPL201C,,,1.120558511,2.178059736,1.130295869,0.510116186,1.068758032,2.091560482,1.077906918,0.488748173,3.658215573,biological_process unknown,molecular_function unknown,cellular_component unknown
1223,YDR379W,RGA2,,2.02753217,1.094033123,2.451587027,0.269257734,1.93380468,1.050584797,2.337956538,0.257978926,3.646520261,establishment of cell polarity (sensu Saccharomyces)*,signal transducer activity*,intracellular
1224,YMR183C,SSO2,,0.983872766,0.549379862,3.408428503,-0.154574956,0.93839091,0.527561843,3.250448634,-0.14810004,3.629910438,nonselective vesicle fusion*,t-SNARE activity,cytoplasm*
1225,YJR049C,UTR1,,0.569691172,1.177724025,2.408356444,0.213689493,0.543355844,1.130952007,2.296729683,0.204738356,3.632420045,iron ion homeostasis*,NAD kinase activity,cytoplasm*
1226,YJR154W,,,0.969559229,0.891452209,0.677170637,2.229474614,0.924739051,0.856049162,0.645783935,2.136085218,3.637918315,biological_process unknown,molecular_function unknown,cytoplasm
1227,YML083C,,,1.618255,2.048998272,1.049421619,0.699528177,1.543447319,1.967624552,1.000781171,0.670225976,3.638631699,biological_process unknown,molecular_function unknown,cellular_component unknown
1228,YKL075C,,,1.754139326,1.451922664,1.65266267,0.693007316,1.673050069,1.394261147,1.57606214,0.663978264,3.634301551,biological_process unknown,molecular_function unknown,cytoplasm
1229,YPL036W,PMA2,,0.709381495,1.247432696,1.828392676,0.717604327,0.67658865,1.197892274,1.743647101,0.687544942,3.629084317,regulation of pH*,"hydrogen-exporting ATPase activity, phosphorylative mechanism",plasma membrane
1230,YDR494W,RSM28,,1.614157323,1.087208402,2.256955491,0.448321174,1.539539067,1.044031112,2.152346129,0.429541663,3.625918904,biological_process unknown,molecular_function unknown,cellular_component unknown
1231,YBR053C,,,1.354337652,2.394921983,1.786619869,-0.389631937,1.291730177,2.299810282,1.703810453,-0.373310831,3.630309905,biological_process unknown,molecular_function unknown,cellular_component unknown
1232,YBL098W,BNA4,,1.292703689,1.542366399,0.942517128,1.306587935,1.23294539,1.481113009,0.898831678,1.251856898,3.631801585,nicotinamide adenine dinucleotide biosynthesis,kynurenine 3-monooxygenase activity,mitochondrion
1233,YBL054W,,,2.291007189,1.984649588,1.418347929,0.387454217,2.18509994,1.905831406,1.352607832,0.371224333,3.62966357,biological_process unknown,molecular_function unknown,cytoplasm*
1234,YBR199W,KTR4,,1.144047098,1.685999375,0.80634726,1.294936462,1.091160803,1.619041758,0.768973252,1.240693488,3.628708498,N-linked glycosylation,mannosyltransferase activity,Golgi apparatus
1235,YDR528W,HLR1,,0.721453563,1.17580215,3.213527136,-0.603088431,0.688102658,1.129106457,3.0645809,-0.577825948,3.615861409,cell wall organization and biogenesis,molecular_function unknown,cytoplasm
1236,YHL024W,RIM4,,1.164261852,1.075355976,0.566310963,2.144531226,1.110441082,1.032649392,0.540062582,2.054699983,3.627411957,meiosis*,RNA binding,cytoplasm
1237,YDR338C,,,1.788926472,1.021962172,1.076876396,1.685619016,1.706229097,0.981376065,1.026963425,1.615010927,3.623350417,biological_process unknown,molecular_function unknown,cellular_component unknown
1238,YNL253W,TEX1,,2.163887418,2.250069829,1.014796843,0.518163138,2.063856582,2.160710773,0.967761245,0.49645805,3.624930068,mRNA-nucleus export,molecular_function unknown,transcription export complex
1239,YOL056W,GPM3,,2.149596652,2.139625882,0.755004721,0.887680047,2.050226441,2.054652986,0.720010428,0.850496442,3.625159856,gluconeogenesis*,NOT phosphoglycerate mutase activity,cytosol
1240,YIL009W,FAA3,,1.790276267,1.167068998,2.121145555,0.492420658,1.707516494,1.120720132,2.022830952,0.471793885,3.615344969,lipid metabolism*,long-chain-fatty-acid-CoA ligase activity,cellular_component unknown
1241,YHL042W,,,0.67633559,1.55635835,1.59189447,0.631108441,0.645070371,1.494549285,1.518110531,0.604672241,3.617332057,biological_process unknown,molecular_function unknown,cellular_component unknown
1242,YPR200C,ARR2,,1.277345123,0.889566327,1.160763315,1.728739029,1.218296811,0.854238176,1.106962205,1.656324706,3.617525087,response to arsenate,arsenate reductase activity,cellular_component unknown
1243,YKR044W,UIP5,,1.198887899,0.995884919,0.561071829,2.220042213,1.143466458,0.956334441,0.53506628,2.127047926,3.618448648,biological_process unknown,molecular_function unknown,nuclear membrane
1244,YPL027W,SMA1,,0.844822859,1.774363135,1.816690719,0.183362262,0.805768916,1.703896249,1.732487527,0.175681488,3.612065263,spore wall assembly (sensu Saccharomyces),molecular_function unknown,cellular_component unknown
1245,YMR306W,FKS3,,1.162968054,1.20005198,1.164468472,1.407535117,1.109207093,1.152393231,1.110495629,1.348575552,3.611464412,biological_process unknown,"1,3-beta-glucan synthase activity",cellular_component unknown
1246,YJL060W,BNA3,,1.945055039,2.085069137,1.323125259,0.362317142,1.85514025,2.002262902,1.261798711,0.347140212,3.611201826,nicotinamide adenine dinucleotide biosynthesis,arylformamidase activity,cytoplasm*
1247,YMR158W,MRPS8,,1.327478151,1.135363748,1.791315521,0.843017053,1.26611232,1.090274022,1.708288463,0.807704315,3.606266799,protein biosynthesis,structural constituent of ribosome,mitochondrial small ribosomal subunit
1248,YGR127W,,,2.199951384,1.351557685,1.125482336,1.292631378,2.098253406,1.297882053,1.073316491,1.23848496,3.609683505,biological_process unknown,molecular_function unknown,cellular_component unknown
1249,YIR019C,MUC1,,1.364139497,1.184611213,1.072844511,1.510761015,1.301078909,1.137565677,1.023118417,1.447477469,3.608161564,pseudohyphal growth*,signal transducer activity,plasma membrane
1250,YDL026W,,,1.916008352,1.909731524,1.707677866,0.150026039,1.827436315,1.83388863,1.628527394,0.14374167,3.606157694,,,
1251,YDR161W,,,0.956683528,1.225043707,1.457448334,1.083400902,0.91245856,1.176392439,1.389895943,1.03801884,3.604307222,biological_process unknown,molecular_function unknown,cytoplasm*
1252,YKL084W,,,1.200765044,0.747011013,0.833656374,2.182588057,1.145256828,0.71734429,0.795016595,2.09116267,3.603523554,biological_process unknown,molecular_function unknown,cellular_component unknown
1253,YMR040W,,,2.364076457,1.285409879,1.892305508,0.585453243,2.254791407,1.234361235,1.804597588,0.560929472,3.599888295,biological_process unknown,molecular_function unknown,integral to membrane
1254,YFL004W,VTC2,,1.258922982,0.812689349,2.966229867,-0.019375459,1.200726277,0.780414283,2.828745802,-0.01856385,3.590596235,vacuole fusion (non-autophagic)*,molecular_function unknown,vacuolar membrane
1255,YGR068C,,,1.340822166,1.130888945,0.862077715,1.764996134,1.278839477,1.08597693,0.822120613,1.691063055,3.599160599,biological_process unknown,molecular_function unknown,cellular_component unknown
1256,YGL217C,,,1.898908495,1.355436696,1.858649371,0.542958042,1.811126939,1.301607014,1.772501405,0.520214332,3.594322751,,,
1257,YIL060W,,,1.748302184,1.909593625,0.996953889,0.84985874,1.667482763,1.833756208,0.950745308,0.814259414,3.59876093,,,
1258,YNL237W,YTP1,,0.541399227,0.321021861,0.384634405,3.048807204,0.516371762,0.30827283,0.36680669,2.921097177,3.596176696,biological_process unknown,molecular_function unknown,membrane
1259,YIL054W,,,0.7882414,1.148268961,1.428727163,1.176470557,0.751803069,1.102666718,1.362505991,1.127189944,3.592362654,,,
1260,YBL053W,,,1.911156254,2.222312118,1.210511205,0.320300119,1.822808517,2.134055429,1.154404292,0.30688322,3.595342941,,,
1261,YNL191W,,,1.936400934,1.445071738,1.9027738,0.405065745,1.846886201,1.387682298,1.814580677,0.38809814,3.590361115,biological_process unknown,molecular_function unknown,cytoplasm
1262,YPL030W,,,2.065660122,1.94112154,1.444171449,0.366101574,1.970170076,1.864032026,1.377234438,0.35076612,3.592032585,biological_process unknown,molecular_function unknown,cytoplasm
1263,YPL072W,UBP16,,0.707712248,1.562468002,1.051821578,1.136981228,0.674996568,1.500416298,1.003069892,1.089354765,3.592840956,protein deubiquitination,ubiquitin-specific protease activity,cytoplasm
1264,YPL039W,,,1.175441661,0.856019345,0.37316647,2.520597483,1.121104078,0.822023475,0.355870291,2.41501338,3.592907146,biological_process unknown,molecular_function unknown,cellular_component unknown
1265,YLR154C,RNH203,,1.352619743,1.247294173,1.111930396,1.390116397,1.290091683,1.197759252,1.060392681,1.331886476,3.590038409,biological_process unknown,molecular_function unknown,cytoplasm*
1266,YLR344W,RPL26A,,1.099890758,0.976887905,0.860719274,1.909821425,1.049045695,0.938091873,0.820825136,1.829821829,3.588738837,protein biosynthesis,structural constituent of ribosome*,cytosolic large ribosomal subunit (sensu Eukarya)
1267,YDR428C,,,1.920369387,1.119660778,2.589939293,0.0366535,1.831595751,1.075194678,2.469896209,0.035118139,3.580209026,biological_process unknown,molecular_function unknown,cellular_component unknown
1268,YGR117C,,,1.183555707,1.396318503,2.161570958,0.179902894,1.128843033,1.340865245,2.061382647,0.172367028,3.574614919,biological_process unknown,molecular_function unknown,cytoplasm
1269,YFL063W,,,1.027127691,0.526747706,3.077734832,0.132941454,0.979646274,0.505828498,2.935082538,0.127372733,3.56828377,,,
1270,YDR186C,,,0.258297031,0.274390158,0.159514623,3.302691616,0.246356637,0.263493054,0.152121157,3.164346746,3.579960957,biological_process unknown,molecular_function unknown,cytoplasm
1271,YKL134C,1-Oct,,1.913941004,1.825234507,0.959793826,0.949167336,1.825464535,1.75274732,0.915307605,0.909408119,3.577463044,iron ion homeostasis*,metallopeptidase activity,mitochondrion
1272,YDR455C,,,1.57671193,1.438209773,2.077157108,0.215843221,1.503824676,1.381092849,1.980881359,0.206801868,3.568776075,,,
1273,YER181C,,,0.859902412,1.393309848,1.424776307,0.910624656,0.820151381,1.337976075,1.358738256,0.872479935,3.569194267,,,
1274,YLR097C,HRT3,,0.730375706,0.686856264,0.715494865,2.322830687,0.696612354,0.659578521,0.682331844,2.225530743,3.567441108,ubiquitin-dependent protein catabolism,ubiquitin-protein ligase activity,nuclear ubiquitin ligase complex
1275,YLR014C,PPR1,,0.388803312,0.902730747,1.077170324,1.742729697,0.370829955,0.866879785,1.02724373,1.669729326,3.563852841,"regulation of transcription, DNA-dependent*",transcription factor activity,nucleus
1276,YLR057W,,,0.798257412,1.637349318,1.648762118,0.434811499,0.761356067,1.572323785,1.572342377,0.416597888,3.56126405,biological_process unknown,molecular_function unknown,cellular_component unknown
1277,YBL032W,HEK2,,1.379491196,1.703652735,1.548562993,0.467070339,1.315720939,1.635994035,1.476787458,0.447505453,3.560286946,telomerase-dependent telomere maintenance*,mRNA binding,cytoplasm*
1278,YER075C,PTP3,,1.131227298,0.816079141,1.571330246,1.330209305,1.078933629,0.783669453,1.498499454,1.274488803,3.556657711,signal transduction during conjugation with cellular fusion*,protein tyrosine phosphatase activity,cytoplasm
1279,YOR386W,PHR1,,1.962335837,2.658042654,0.451851767,0.606885398,1.871622202,2.552481404,0.430908543,0.581463866,3.564853813,photoreactive repair,deoxyribodipyrimidine photo-lyase activity,nucleus
1280,YGR290W,,,1.96181834,1.520486672,1.076018943,1.119771718,1.871128627,1.460102211,1.026145715,1.072866136,3.559114062,,,
1281,YIL132C,CSM2,,1.047053443,1.291360177,2.036053471,0.387960278,0.998650911,1.240075223,1.941682866,0.371709195,3.553467285,meiotic chromosome segregation,molecular_function unknown,cytoplasm*
1282,YPL162C,,,1.40814823,1.621333893,1.72601247,0.365467145,1.343053233,1.556944395,1.646012193,0.350158267,3.553114855,biological_process unknown,molecular_function unknown,vacuolar membrane (sensu Fungi)
1283,YER149C,PEA2,,0.843934235,0.897691698,2.257758299,0.557314062,0.80492137,0.862040856,2.153111727,0.533969,3.549121583,establishment of cell polarity (sensu Saccharomyces)*,cytoskeletal regulatory protein binding,actin cap (sensu Saccharomyces)*
1284,YHR022C,,,1.418552473,1.460280245,1.988572183,0.259824893,1.352976515,1.402286816,1.896402325,0.248941212,3.547630353,biological_process unknown,molecular_function unknown,cellular_component unknown
1285,YIL111W,COX5B,,1.334915066,0.865555645,1.933196017,0.905343498,1.273205446,0.831181052,1.843592831,0.867419997,3.54219388,anaerobic respiration,cytochrome-c oxidase activity,respiratory chain complex IV (sensu Eukarya)
1286,YHL021C,FMP12,,0.873092702,1.456399575,2.714020114,-0.468023794,0.832731918,1.398560263,2.588225913,-0.448418969,3.538367206,biological_process unknown,molecular_function unknown,mitochondrion
1287,YML116W,ATR1,,1.445938109,2.040796268,0.97283251,0.687484556,1.379096185,1.959748282,0.927741949,0.658686844,3.546177075,multidrug transport,multidrug efflux pump activity,plasma membrane
1288,YKR092C,SRP40,,0.545169678,0.534586777,0.340970735,2.825387376,0.519967915,0.513356249,0.325166821,2.707036075,3.545559145,nucleocytoplasmic transport,chaperone activity,nucleolus
1289,YER073W,ALD5,,1.616630373,1.052489973,2.005277702,0.641907829,1.541897794,1.010691488,1.912333547,0.615019259,3.538044293,electron transport,aldehyde dehydrogenase activity,mitochondrion
1290,YGR223C,,,1.443365363,0.392379389,0.026523634,3.277619326,1.376642371,0.376796472,0.02529427,3.140324697,3.542415439,biological_process unknown,molecular_function unknown,cellular_component unknown
1291,YGL146C,,,0.867905248,1.841922567,1.98353516,-0.130068577,0.827784266,1.768772632,1.891598767,-0.124620197,3.535751202,biological_process unknown,molecular_function unknown,membrane
1292,YBL088C,TEL1,,1.453582755,1.962610421,0.937762921,0.793701173,1.386387439,1.8846675,0.894297828,0.760454204,3.539419532,telomerase-dependent telomere maintenance*,inositol/phosphatidylinositol kinase activity,nucleus
1293,YAR031W,PRM9,,0.607639931,1.124075021,1.675810664,0.890638337,0.579550332,1.079433614,1.598137229,0.853330814,3.530901657,conjugation with cellular fusion,molecular_function unknown,endoplasmic reticulum*
1294,YEL052W,AFG1,,2.061699961,1.702390676,1.792201005,0.194902323,1.966392983,1.634782097,1.709132905,0.186738153,3.530653155,biological_process unknown,ATPase activity,mitochondrion
1295,YGR039W,,,1.318419616,0.827122665,1.4119398,1.449956264,1.257472538,0.794274395,1.346496719,1.389219739,3.529990853,,,
1296,YHR110W,ERP5,,1.817300801,2.21510312,1.307077201,0.166374375,1.733291755,2.127132728,1.246494477,0.159405198,3.533032403,secretory pathway,molecular_function unknown,integral to membrane
1297,YGL160W,,,0.910311863,1.122974877,3.02230787,-0.457834358,0.868230535,1.078377161,2.882224603,-0.438656353,3.52194541,biological_process unknown,oxidoreductase activity,membrane
1298,YDR446W,ECM11,,1.414875796,0.929564676,2.299820675,0.455111226,1.349469802,0.892648034,2.193224521,0.436047289,3.521919845,cell wall organization and biogenesis,molecular_function unknown,nucleus
1299,YAR002W,NUP60,,1.98292706,2.287146755,1.478556343,-0.082050065,1.891261547,2.196315229,1.4100256,-0.078613109,3.52772772,nucleocytoplasmic transport*,structural constituent of nuclear pore,nuclear pore
1300,YGR201C,,,1.160945708,1.308018031,0.279308594,2.095017566,1.107278235,1.256071529,0.266362706,2.007260377,3.529694612,biological_process unknown,molecular_function unknown,cellular_component unknown
1301,YDL154W,MSH5,,1.891191912,1.455871984,1.659237435,0.565813695,1.803767074,1.398053624,1.582332166,0.542112596,3.522498386,meiotic recombination,molecular_function unknown,nucleus
1302,YCL012W,,,2.018380133,1.922904196,1.457609645,0.295648617,1.925075717,1.846538164,1.390049777,0.283264333,3.519852274,,,
1303,YOR300W,,,1.060922537,1.027918378,2.656750985,-0.00886052,1.011878873,0.987095727,2.533611195,-0.008489366,3.512217555,,,
1304,YPR018W,RLF2,,0.469356198,0.355890975,0.21303019,3.106658191,0.447659093,0.341757155,0.20315629,2.976524872,3.521438317,nucleosome assembly,molecular_function unknown,nucleus*
1305,YNL217W,,,1.195564114,1.086766548,1.848502275,0.738418735,1.140296323,1.043606806,1.762824624,0.707487466,3.513918896,biological_process unknown,phosphoric monoester hydrolase activity,vacuole (sensu Fungi)
1306,YNR071C,,,1.703350516,1.066191901,0.950294868,1.657186032,1.624609092,1.023849259,0.906248922,1.587768959,3.517867139,biological_process unknown,molecular_function unknown,cellular_component unknown
1307,YDR072C,IPT1,,0.673249965,1.117780886,1.499343453,1.056519447,0.642127386,1.073389444,1.429849233,1.012263409,3.515502085,mannosyl diphosphorylinositol ceramide metabolism,"transferase activity, transferring phosphorus-containing groups",membrane fraction
1308,YER114C,BOI2,,1.121760308,1.867687134,1.654677522,0.149971794,1.069904273,1.793513987,1.577983604,0.143689697,3.515187288,establishment of cell polarity (sensu Saccharomyces)*,phospholipid binding,bud neck*
1309,YNL193W,,,2.170087785,1.060777206,2.221348699,0.390105552,2.069770323,1.018649602,2.118389703,0.373764607,3.510803913,biological_process unknown,molecular_function unknown,cellular_component unknown
1310,YGL202W,ARO8,,2.013448,2.28255474,1.023916947,0.364784634,1.920371584,2.191905581,0.976458635,0.349504345,3.517868561,aromatic amino acid family metabolism,aromatic-amino-acid transaminase activity,cytoplasm
1311,YML048W-A,,,1.281924944,1.325159997,1.51137317,0.834111809,1.222664919,1.272532721,1.441321375,0.799172098,3.513026194,,,
1312,YDL039C,PRM7,,1.612850472,1.353279134,2.407170748,-0.090304812,1.538292628,1.299535137,2.295598944,-0.086522077,3.508612004,conjugation with cellular fusion,molecular_function unknown,integral to membrane
1313,YDR006C,SOK1,,0.645147974,1.551984318,0.569525527,1.547020775,0.615324477,1.490348962,0.543128151,1.482218361,3.515695475,cAMP-mediated signaling,molecular_function unknown,nucleus
1314,YEL004W,YEA4,,0.665862877,1.019678611,2.22664597,0.418840772,0.635081784,0.979183193,2.123441447,0.401296151,3.503920791,cell wall chitin biosynthesis*,UDP-N-acetylglucosamine transporter activity,endoplasmic reticulum
1315,YBR090C,,,1.907339671,1.799193175,1.475355408,0.389278462,1.819168364,1.727740191,1.406973028,0.372972163,3.507685381,biological_process unknown,molecular_function unknown,cytoplasm*
1316,YER124C,DSE1,,1.489796377,1.2900797,1.669062409,0.702202759,1.420927001,1.238845599,1.591701754,0.672788523,3.503335877,cell wall organization and biogenesis,molecular_function unknown,bud neck
1317,YER142C,MAG1,,1.423564268,1.251927762,1.873518012,0.535647501,1.357756628,1.202208824,1.786680888,0.513210019,3.50209973,DNA dealkylation,alkylbase DNA N-glycosylase activity,nucleus
1318,YCL030C,HIS4,,0.982057527,1.118611858,1.695875001,0.845229728,0.936659585,1.074187415,1.617271589,0.809824304,3.501283308,histidine biosynthesis,phosphoribosyl-ATP diphosphatase activity*,cell
1319,YNL022C,,,1.095698189,1.445575536,1.698701461,0.513130313,1.045046938,1.388166089,1.619967043,0.491636043,3.499769174,biological_process unknown,molecular_function unknown,nucleus
1320,YBR139W,,,1.584336473,0.936598088,2.135268232,0.576864692,1.511096756,0.899402122,2.036299046,0.552700683,3.488401851,biological_process unknown,carboxypeptidase C activity,vacuole (sensu Fungi)
1321,YPL246C,RBD2,,2.132953479,2.524290256,0.57543253,0.548185326,2.034352638,2.424040836,0.548761366,0.525222653,3.498024855,biological_process unknown,molecular_function unknown,Golgi apparatus*
1322,YGR219W,,,0.006270209,0.025513625,0.022965221,3.598373841,0.005980354,0.024500379,0.021900788,3.44764328,3.494044448,,,
1323,YBR288C,APM3,,2.089120798,2.185460165,0.736106214,0.724284631,1.992546227,2.098667011,0.701987862,0.693945418,3.494600291,Golgi to vacuole transport,molecular_function unknown,AP-3 adaptor complex
1324,YPL164C,MLH3,,1.836641357,2.223945498,0.602166725,0.819040812,1.751738248,2.135623941,0.574256437,0.784732403,3.494612781,meiotic recombination*,molecular_function unknown,nucleus
1325,YKL187C,,,2.223364016,2.261309119,0.656579445,0.727138749,2.120583733,2.171503707,0.62614714,0.696679982,3.494330829,biological_process unknown,molecular_function unknown,cellular_component unknown
1326,YOR180C,DCI1,,1.28115608,0.780273192,2.595426031,0.269293237,1.221931597,0.749285498,2.475128638,0.258012941,3.482427077,fatty acid beta-oxidation,dodecenoyl-CoA delta-isomerase activity,peroxisomal matrix
1327,YKL123W,,,1.798444555,2.402753615,0.652716049,0.589006386,1.715307184,2.30733089,0.622462812,0.564333779,3.494127481,,,
1328,YGL254W,FZF1,,0.981747637,1.620781377,1.288142602,0.733128101,0.936364021,1.556413822,1.228437492,0.702418449,3.487269762,positive regulation of transcription from Pol II promoter*,transcription factor activity,nucleus
1329,YCL075W,,,0.818829676,1.261424346,1.592065666,0.78773548,0.780977329,1.211328261,1.518273793,0.754738405,3.484340459,,,
1330,YDR090C,,,2.276019468,1.283782717,1.035965683,1.314669928,2.170805062,1.232798694,0.987948914,1.259600348,3.480347956,biological_process unknown,molecular_function unknown,integral to membrane
1331,YCR100C,,,1.049117557,0.830378665,0.625753848,2.177514171,1.000619606,0.797401087,0.596750303,2.086301321,3.48045271,biological_process unknown,molecular_function unknown,cellular_component unknown
1332,YHR006W,STP2,,2.219936526,2.60652727,0.419946729,0.60655217,2.117314687,2.503011897,0.400482296,0.581144596,3.484638789,positive regulation of transcription from Pol II promoter,specific RNA polymerase II transcription factor activity,nucleus
1333,YEL056W,HAT2,,1.511518846,1.227092234,2.49376137,-0.089565591,1.441645297,1.178359611,2.37817611,-0.085813821,3.470721901,chromatin silencing at telomere*,H3/H4 histone acetyltransferase activity,cytoplasm*
1334,YIL128W,MET18,,1.414933791,1.218788296,2.604441415,-0.192543547,1.349525116,1.170385455,2.483726161,-0.184478182,3.469633434,transcription from Pol II promoter*,RNA polymerase II transcription factor activity,nucleoplasm
1335,YIL059C,,,2.141750559,2.357965347,0.818269545,0.453990467,2.042743052,2.264321339,0.780342942,0.434973477,3.479637758,,,
1336,YLR401C,DUS3,,1.343390408,2.153952887,0.61624784,0.856897867,1.281288995,2.06841101,0.587684896,0.821003682,3.477099588,tRNA modification,tRNA dihydrouridine synthase activity,cytoplasm*
1337,YDL187C,,,1.168806856,1.249467329,1.969597791,0.407796058,1.114775983,1.199846104,1.878307391,0.390714084,3.468867579,,,
1338,YGL176C,,,0.949222656,1.157386566,2.855063767,-0.38660682,0.905342584,1.111422227,2.722732225,-0.370412432,3.463742021,biological_process unknown,molecular_function unknown,cellular_component unknown
1339,YJL157C,FAR1,,1.757329025,1.239886712,1.161726356,1.222913742,1.676092317,1.190645971,1.10788061,1.171687693,3.470214273,signal transduction during conjugation with cellular fusion*,cyclin-dependent protein kinase inhibitor activity,cytoplasm*
1340,YKL096W-A,CWP2,,0.994336058,2.740247935,0.567457514,0.315327071,0.948370512,2.631421993,0.54115599,0.302118486,3.474696469,cell wall organization and biogenesis*,structural constituent of cell wall,cell wall (sensu Fungi)
1341,YFL047W,RGD2,,1.718191671,1.73295892,1.631518382,0.257112686,1.63876418,1.664136357,1.555897884,0.246342616,3.466376856,small GTPase mediated signal transduction,Rho GTPase activator activity,cytoplasm*
1342,YKR039W,GAP1,,1.454160767,1.034850763,2.111306604,0.475211734,1.386938732,0.9937528,2.013448034,0.455305817,3.46250665,amino acid transport,general amino acid permease activity,integral to plasma membrane
1343,YML094W,GIM5,,0.328194879,0.149486332,0.102948224,3.368923517,0.313023291,0.143549646,0.098176598,3.227804291,3.469530535,tubulin folding,tubulin binding,cytoplasm
1344,YDR402C,DIT2,,0.641202172,0.904136419,2.378549846,0.337700025,0.611561079,0.868229632,2.268304614,0.32355427,3.460088516,spore wall assembly (sensu Saccharomyces),catalytic activity,cellular_component unknown
1345,YDR233C,RTN1,,0.756808493,0.512428914,0.408555375,2.69844556,0.721823223,0.492078362,0.389618928,2.585411664,3.467108954,biological_process unknown,molecular_function unknown,endoplasmic reticulum
1346,YLR285W,NNT1,,2.172978462,2.545050799,0.442776286,0.628919857,2.072527371,2.443976897,0.422253708,0.602575334,3.468805939,chromatin silencing at ribosomal DNA (rDNA)*,nicotinamide N-methyltransferase activity,cytoplasm
1347,YJL122W,,,1.761578755,1.543102835,1.703932636,0.367803785,1.680145593,1.481820198,1.624955755,0.352397028,3.45917298,biological_process unknown,molecular_function unknown,nucleus
1348,YPR027C,,,0.871417064,0.797265432,0.887160006,1.924807971,0.83113374,0.765602909,0.846040346,1.84418061,3.455823866,biological_process unknown,molecular_function unknown,cellular_component unknown
1349,YJR019C,TES1,,0.939032396,1.48599926,1.640009592,0.482663958,0.895623393,1.426984429,1.563995529,0.462445878,3.453425836,fatty acid oxidation,acyl-CoA thioesterase activity,peroxisome
1350,YMR246W,FAA4,,2.309968285,3.013200499,0.502999562,0.0902477,2.203184514,2.893534545,0.479685649,0.086467357,3.459687551,lipid metabolism*,long-chain-fatty-acid-CoA ligase activity,cytoplasm*
1351,YBL086C,,,1.570232352,1.625482785,0.955096416,1.02542762,1.497644632,1.560928518,0.910827919,0.982473973,3.45423041,biological_process unknown,molecular_function unknown,cellular_component unknown
1352,YCR090C,,,1.395306509,1.252123029,0.531973587,1.817372266,1.330805151,1.202396336,0.507316735,1.741245228,3.450958299,biological_process unknown,molecular_function unknown,cytoplasm*
1353,YHR021W-A,ECM12,,2.102851614,1.399952626,1.708268486,0.492469099,2.005642303,1.344355042,1.629090639,0.471840296,3.445285978,cell wall organization and biogenesis,molecular_function unknown,cellular_component unknown
1354,YPL272C,,,1.565235768,1.460809286,1.675124099,0.461655066,1.492879027,1.402794847,1.597482487,0.442317018,3.442594351,biological_process unknown,molecular_function unknown,cellular_component unknown
1355,YLR421C,RPN13,,1.059727239,1.126367119,1.531904192,0.938985526,1.01073883,1.081634684,1.460900789,0.89965281,3.442188283,proteolysis and peptidolysis,endopeptidase activity,proteasome regulatory particle (sensu Eukarya)
1356,YNL065W,AQR1,,0.810579122,1.939396313,1.11544528,0.540569567,0.773108177,1.862375315,1.063744651,0.517925907,3.444045872,drug transport*,monocarboxylic acid transporter activity*,plasma membrane
1357,YKR091W,SRL3,,1.656920965,0.994851102,1.037528962,1.56239636,1.580325858,0.955341681,0.989439736,1.496949886,3.441731303,"nucleobase, nucleoside, nucleotide and nucleic acid metabolism",molecular_function unknown,cytoplasm
1358,YBL059W,,,1.504880778,1.326712909,0.190762012,2.074904694,1.43531409,1.27402396,0.181920237,1.987990003,3.443934201,biological_process unknown,molecular_function unknown,mitochondrion
1359,YOR357C,GRD19,,1.583773817,1.445150441,1.53634086,0.610306578,1.51056011,1.387757876,1.465131818,0.584741738,3.437631432,protein localization,protein binding,cytosol
